Title,Date,Creator,Description,Provider,Thumbnail,URL,Keywords,File,ID,Coverage,Format,Language,Relation,Rights,Subject,Type,Commentary
1900 Palo Alto tree,,"Crandall, Berton W",Palo Alto single tree (double fell in storm in 1886). Landmark and symbol of the city of Palo Alto. Railroad bridge over San Francisquito Creek.,San José Public Library. California Room,https://dp.la/thumb/5099f32a0e2d1867107ec9f8de458880,http://digitalcollections.sjlibrary.org/cdm/ref/collection/arbuckle/id/513,,,tree-11,,,,,,,,
"Witch Tree, Monterey, Calif.",,,1903-1904.,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",https://dp.la/thumb/55fc8cce1509b68a9f3213f2d191f160,https://digitalcollections.nypl.org/items/fb1485a0-c62c-012f-64c1-58d385a7bc34,,,tree-12,,,,,,,,
Lake beyond an overhanging tree,,"Pierce, C.C. (Charles C.), 1861-1946","Photograph of a lake beyond an overhanging tree, [s.d.]. A tree can be seen at left with multiple branches hanging over a calm lake, which is visible behind it. Leaves can be seen at the very ends of…",California Historical Society,https://dp.la/thumb/6aa423daee561099f8b0ba93eba9b071,http://doi.org/10.25549/chs-m20728,,,tree-13,,,,,,,,
Robert Burns Tree,,United States. Forest Service,"Printed on verso: ”No. 48743 Robert Burns Tree, 62 ' circum., 6' from the ground; about 240' high. Sequoia National Forest, Cal.”","Irma and Paul Milstein Division of United States History, Local History and Genealogy. The New York Public Library",https://dp.la/thumb/6c7d31535e547c156a3c7000227b2108,https://digitalcollections.nypl.org/items/4dabbef0-c5cf-012f-0c02-58d385a7bc34,playoff,,tree-14,,,,,,,,
"Tree house of Amos Aspey, Los Angeles",,,"Wooden tree house with balcony, windows, and stairs to roof, built in eucalyptus tree, with two children standing below. Floor of tree house is higher than roof of house in background. Text from nitra…","UCLA, Library Special Collections, Charles E. Young Research Library",https://dp.la/thumb/6eb16b5b7e76cf7aafb42793a9cdb6bc,https://dl.library.ucla.edu/islandora/object/edu.ucla.library.specialCollections.bartlett:149,playoff,,tree-15,,,,,,,,
Large Oak Tree,,"Brewster, John Calvin",Large oak tree and man with orchard in background.,Museum of Ventura County,https://dp.la/thumb/75f45ec8540ef2cfa2c023430c6c7b85,https://photographs.venturamuseum.org/items/show/1326,playoff,,tree-16,,,,,,,,
Tree,,,A tree stands in the mist. Scanned with Microtek Scanmaker 1000XL Pro; as a 600 dpi TIFF image in 8-bit Grayscale. Auto Level image processing applied and compressed into JPEG format using Photoshop C…,"San José State University, Special Collections and Archives",https://dp.la/thumb/8044e1135048f78bb29ab3d6217beda1,https://digitalcollections.sjsu.edu/islandora/object/islandora%3A78_1558,playoff,,tree-17,,,,,,,,
"Magnolia Tree, Riverside, Calif.",,,,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",https://dp.la/thumb/84d1c58aa3c8cfffa2613733acafe658,https://digitalcollections.nypl.org/items/218c6da0-c62e-012f-d03a-58d385a7bc34,playoff,,tree-18,,,,,,,,
"”Watermelon tree,” freak sahuaro, giant cactus",,"Curt Teich & Co, Lollesgard Specialty Co","Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (https://lib.ucsd.edu/sca) This digital image is a surrogate of an item from the Baja California and the West Postcard Collection. Po…","UC San Diego, Special Collections and Archives",https://dp.la/thumb/a2e47cb93fdef401a63f5b00dc2a8b22,https://library.ucsd.edu/dc/object/bb9695256j,,,tree-19,,,,,,,,
"Witch Tree, Monterey, Calif.",,,,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",https://dp.la/thumb/a3c9109d5929bbb0bcbd24b21e091c8e,https://digitalcollections.nypl.org/items/22ce8190-c62e-012f-b894-58d385a7bc34,,,tree-20,,,,,,,,
Orange Tree,,,Title supplied by cataloger. Written in pencil on back: ”Orange Tree A.F. Scheidecker Dec. 13-/11.”,California Historical Society,https://dp.la/thumb/a3cc7bae0c8ca376444bed7e2a720231,http://digitallibrary.californiahistoricalsociety.org/islandora/object/chs%3A101,,,tree-21,,,,,,,,
Acacia tree (Blackwood) (Acacia Melaseoxgeon,,,"Photograph of an acacia tree (Blackwood) (Acacia Melaseoxgeon[?]) growing next to a dirt road, ca.1920. The branches of an adjacent tree are visible at right. A sign in the background across the road…",California Historical Society,https://dp.la/thumb/a79bdb348b760b42421491714a24598a,http://doi.org/10.25549/chs-m9064,,,tree-22,,,,,,,,
Heron Tree,,"Finley, William L. (William Lovell), 1876-1953",Large tree with multiple nests and great blue herons flying above.,Oregon Historical Society Research Library,https://dp.la/thumb/af78706d0edc487baca522ce162484e0,https://digitalcollections.ohs.org/heron-tree,,,tree-23,,,,,,,,
Joshua Tree,,,"Negative of a photograph of Joshua trees in the desert, probably the Mojave Desert in southeastern California.",University of Utah - J. Willard Marriott Library,https://dp.la/thumb/af97305c7a802dc96675ec86bde8e423,P1194n05_13_021,,,tree-24,,,,,,,,
Juniper tree. Bear Valley,,"Lukens, Theodore Parker, 1849-1918","Plates in: Around Pasadena ; around San Bernardino Mountains : photograph album / Lukens, pg. 14. 2015-4672. ”37-98, Lukens” -- lower left corner.",California State Library,https://dp.la/thumb/b20448db07e1f7286a2e24dde999c38c,https://csl.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma990015551260205115&context=L&vid=01CSL_INST:CSL,,,tree-25,,,,,,,,
"Bunya Bunya tree, Burbank's Home, Santa Rosa",,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (https://lib.ucsd.edu/sca) This digital image is a surrogate of an item from the Baja California and the West Postcard Collection. [T…","UC San Diego, Special Collections and Archives",https://dp.la/thumb/bad6dd9370e77c66632603c9a4c17881,https://library.ucsd.edu/dc/object/bb02412517,,,tree-26,,,,,,,,
Pepper Tree Road,,"Finley, William L. (William Lovell), 1876-1953",View of a road lined with pepper trees in southern California.,Oregon Historical Society Research Library,https://dp.la/thumb/c786dd129758059eb9f428aeeae11d2d,https://digitalcollections.ohs.org/pepper-tree-road,,,tree-27,,,,,,,,
"Bristlecone pine, ancient tree, in California, 1940s?",,,Print unmarked. The tree pictured here resembles the Bristlecone pines found in California.,Georgia State University. Special Collections,https://dp.la/thumb/ca5aa4760d2aa229ea480bd7c4f3bc1f,http://digitalcollections.library.gsu.edu/cdm/ref/collection/ajc/id/1104,,,tree-28,,,,,,,,
Photograph of a Tree,,Department of the Interior. Office of Indian Affairs. Mission Agency. 11/15/1920-6/17/1946,Original caption: ”Misc. Trees”,National Archives at Riverside,https://dp.la/thumb/d07f385ec33bb08506bfffe83dc98665,http://catalog.archives.gov/id/170102113,,,tree-29,,,,,,,,
Large Oak Tree,,Unknown,Large Oak tree between buildings.,Museum of Ventura County,https://dp.la/thumb/d125ac3ba22fcc2c43e8c045fa654434,https://photographs.venturamuseum.org/items/show/1757,,,tree-30,,,,,,,,
Bathing at Lone Tree,,"Finley, William L. (William Lovell), 1876-1953",William L. Finley bathing of the shore at Lone Tree camp near Tule Lake on the 1905 Klamath expedition.,Oregon Historical Society Research Library,https://dp.la/thumb/d532537b19663224ac96cf22d042cbe7,https://digitalcollections.ohs.org/bathing-at-lone-tree,,,tree-31,,,,,,,,
"[Dead tree, Yosemite Valley]",,,"Part of set, Hutchings' Collection, no. 18 of 18. 2015-0461. Mrs. M.O. Walkington;",California State Library,https://dp.la/thumb/e727d9ccfb4f1e4d11464d122c40716d,https://csl.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma990015338790205115&context=L&vid=01CSL_INST:CSL,,,tree-32,,,,,,,,
Pepper Tree Road,,"Finley, William L. (William Lovell), 1876-1953",View of a road lined with pepper trees in southern California.,Oregon Historical Society Research Library,https://dp.la/thumb/eac7483c48aedf5e76e6f5c9109546b1,https://digitalcollections.ohs.org/pepper-tree-road-2,,,tree-33,,,,,,,,
Cactus Tree.,,,,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",https://dp.la/thumb/f2ba7b39cdc5a1aabfcf12827345f929,https://digitalcollections.nypl.org/items/62b2fac0-c530-012f-af1a-58d385a7bc34,,,tree-34,,,,,,,,
[Tree],,,,"California Polytechnic State University, San Luis Obispo",https://dp.la/thumb/f46f3f0c132c98e6650c03808a40708e,https://digital.lib.calpoly.edu/rekl-2281,,,tree-35,,,,,,,,
The Original Big Tree.,,"Weed, Charles L","Printed title label on mount, lower center; signed in pencil on mount below lower right edge of print.","The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",https://dp.la/thumb/f4fd8d76754ff9058994b08906b680c8,https://digitalcollections.nypl.org/items/acc6eca0-c6c0-012f-217a-58d385a7bc34,,,tree-36,,,,,,,,
"A big tree (Sequoia Gigantea), Mariposa Grove",,"Austin, Daniel Berry, Dove, Adam",,"Irma and Paul Milstein Division of United States History, Local History and Genealogy. The New York Public Library",https://dp.la/thumb/f5761609092c5a28d1b8762a0d6fa07f,https://digitalcollections.nypl.org/items/b30c7350-c6cd-012f-d5d8-58d385a7bc34,,,tree-37,,,,,,,,
Cactus Tree. 33.,,,"STEREO-0713 STEREO COLLECTION-OVERSIZE: TREES, SHRUBS, PLANTS, ETC.: PIERCE, # 33 Photographer's number 33. Green mount; white verso. On front: Southern California Views. Streetside view of a cactus s…",California State Library,https://dp.la/thumb/f73e4c43174f779566e93d373db85bc9,https://csl.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma990013836690205115&context=L&vid=01CSL_INST:CSL,,,tree-38,,,,,,,,
